start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
7.32259,0.26961,1.0,-39.575,0.02488,-19.25,0.0,"[0.899, 0.085, 0.179, 0.119, 0.914, 1.0, 0.097, 0.054, 0.366, 0.18, 0.05, 0.919]","[32.591, -147.273, -182.875, 25.551, 33.875, 16.694, -8.263, -52.549, 24.196, -10.346, 20.016, 0.351]"
7.5922,0.26086,1.0,-39.279,0.02425,-2.348,0.0,"[0.549, 0.269, 0.325, 0.734, 0.273, 0.188, 0.205, 0.712, 1.0, 0.115, 0.283, 0.69]","[46.208, 15.831, -148.31, 118.833, -16.663, 34.978, -29.637, 2.566, 14.421, -32.807, 7.111, 13.313]"
7.85306,0.29351,1.0,-35.386,0.03761,-16.399,0.0,"[0.308, 0.431, 0.352, 0.144, 0.683, 0.616, 0.301, 0.216, 0.425, 1.0, 0.661, 0.326]","[34.682, -112.677, -181.965, 2.63, 27.193, 38.945, -10.332, -65.68, 53.206, -62.662, 0.323, 1.271]"
8.14658,0.26685,1.0,-33.08,0.01741,-4.036,0.0,"[0.658, 0.4, 0.098, 0.261, 0.355, 0.349, 0.176, 0.25, 0.155, 0.248, 0.471, 1.0]","[41.077, 66.131, -169.549, 204.064, -23.872, -1.477, -45.084, 36.471, 27.689, -4.833, -30.413, 11.935]"
8.41342,0.27524,1.0,-45.33,0.0287,-25.393,0.0,"[1.0, 0.922, 0.285, 0.148, 0.214, 0.505, 0.231, 0.146, 0.094, 0.322, 0.333, 0.63]","[22.251, 163.151, -103.2, 133.986, 7.885, 46.194, -21.459, -26.306, 10.969, -25.401, 5.087, -16.315]"
8.68866,0.2859,1.0,-51.716,0.01862,-1.691,0.0,"[0.833, 0.372, 0.165, 0.252, 0.252, 0.267, 0.12, 0.363, 0.283, 0.134, 0.173, 1.0]","[43.682, 101.46, -140.226, 197.729, -29.155, 9.211, -54.1, 88.312, 4.732, -8.152, -33.725, 21.372]"
8.97456,0.21546,0.959,-46.764,0.0178,-30.118,0.0,"[1.0, 0.586, 0.291, 0.348, 0.225, 0.175, 0.132, 0.143, 0.079, 0.129, 0.149, 0.761]","[21.206, 156.069, -69.659, 123.497, -3.295, -68.948, -28.433, -20.06, -5.293, 0.533, -39.344, -0.886]"
9.19002,0.33619,1.0,-51.003,0.07469,-3.298,0.0,"[0.945, 0.287, 0.156, 0.226, 0.595, 0.807, 0.084, 0.227, 0.352, 0.111, 0.096, 1.0]","[28.551, -24.35, -12.176, -196.637, 14.127, 116.397, 36.167, -28.761, -21.627, 68.219, -111.937, 39.957]"
9.52621,0.18562,0.163,-37.297,0.01425,-28.804,0.0,"[0.241, 0.298, 0.227, 0.346, 0.447, 0.525, 1.0, 0.869, 0.406, 0.437, 0.224, 0.044]","[22.757, 168.001, -94.419, 109.671, -7.862, -51.102, -48.046, -20.529, -11.195, -9.335, -50.63, 9.256]"
9.71184,0.35102,1.0,-51.564,0.09895,-3.169,0.0,"[1.0, 0.368, 0.534, 0.608, 0.996, 0.793, 0.279, 0.23, 0.259, 0.197, 0.263, 0.952]","[27.072, -0.829, 12.801, -274.556, 19.581, 122.792, 30.615, -2.215, -19.662, 85.106, -85.495, 31.89]"
10.06286,0.20726,0.477,-37.371,0.02652,-26.416,0.0,"[0.832, 1.0, 0.141, 0.108, 0.115, 0.217, 0.263, 0.065, 0.047, 0.081, 0.101, 0.258]","[24.514, 179.508, -108.83, 126.672, -8.855, -37.25, -37.486, -11.417, 1.751, -27.916, -44.694, 15.036]"
10.27011,0.34717,1.0,-51.67,0.07391,-3.383,0.0,"[1.0, 0.364, 0.253, 0.226, 0.649, 0.747, 0.21, 0.321, 0.468, 0.168, 0.219, 0.942]","[28.647, -54.743, -33.56, -178.993, 33.723, 110.804, 8.089, 21.59, 6.853, 34.776, -109.357, 42.121]"
10.61728,0.26186,0.462,-37.143,0.00292,-28.869,0.0,"[0.847, 1.0, 0.393, 0.286, 0.205, 0.16, 0.318, 0.232, 0.179, 0.24, 0.404, 0.3]","[19.227, 150.145, -107.079, 117.209, -24.298, -97.42, -33.865, -15.942, 7.444, -26.058, -32.524, 27.225]"
10.87914,0.28571,1.0,-52.313,0.02255,-1.153,0.0,"[0.871, 1.0, 0.393, 0.773, 0.658, 0.516, 0.654, 0.747, 0.277, 0.369, 0.339, 0.84]","[44.787, 86.91, -137.163, 215.255, -31.025, -38.609, -53.177, 61.953, 14.485, -36.939, -74.499, 31.753]"
11.16485,0.11986,1.0,-47.609,0.01586,-26.105,0.0,"[1.0, 0.72, 0.566, 0.611, 0.756, 0.782, 0.785, 0.744, 0.362, 0.423, 0.231, 0.155]","[27.359, 169.439, -27.732, 73.654, 31.476, -50.657, -43.282, -44.807, -4.962, 22.272, -18.823, 8.757]"
11.28472,0.10508,1.0,-39.849,0.03151,-10.393,0.0,"[1.0, 0.836, 0.275, 0.299, 0.374, 0.484, 0.32, 0.39, 0.587, 0.462, 0.45, 0.435]","[41.012, -101.963, -69.164, 32.895, -6.132, 40.566, -2.255, -18.418, 11.892, 13.09, 43.464, -2.952]"
11.3898,0.26748,1.0,-25.512,0.04236,-4.479,0.0,"[0.706, 0.241, 0.132, 0.263, 0.262, 0.21, 0.11, 0.137, 0.301, 0.151, 0.077, 1.0]","[42.646, 13.302, -140.882, 101.785, 2.115, 61.26, -32.701, 26.434, 27.124, -29.011, -77.931, 21.7]"
11.65728,0.29383,1.0,-41.126,0.04568,-13.212,0.0,"[0.576, 0.041, 0.103, 0.056, 0.913, 1.0, 0.051, 0.029, 0.219, 0.087, 0.022, 0.573]","[33.824, -143.661, -133.616, 20.256, 18.892, 77.333, -1.722, -14.644, 7.067, 18.564, -41.749, 16.908]"
