,spotify_id,artist_id,artist,song_title,remaster,tempo,time_signature,key,mode,loudness,energy,danceability,acousticness,instrumentalness,liveness,speechiness,valence,genres
28,2EzE1ti66ASZLKQ0VdJzRX,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,Come Fly With Me - Remastered,Y,134.12,4,B,1,-7.102,0.483,0.45399999999999996,0.6890000000000001,0.0,0.124,0.0406,0.49700000000000005,"['adult standards', 'easy listening', 'lounge']"
29,4hHbeIIKO5Y5uLyIEbY9Gn,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,Come Fly With Me - Remastered,N,67.008,4,F♯/G♭,1,-11.376,0.33799999999999997,0.574,0.845,0.0,0.165,0.042,0.493,"['adult standards', 'easy listening', 'lounge']"
30,27LyQFdQbui4TnRs05cZ8C,5yV1qdnmxyIYiSFB02wpDj,The Postal Service,Such Great Heights - Remastered,Y,174.97799999999998,4,F,1,-7.149,0.816,0.6509999999999999,0.0439,0.18600000000000003,0.065,0.0507,0.201,"['indie pop', 'indie rock', 'indietronica', 'modern rock', 'seattle indie']"
31,2U7bhB1xvTrsO3v4rInXGn,5yV1qdnmxyIYiSFB02wpDj,The Postal Service,Such Great Heights,N,174.984,4,F,1,-8.125,0.818,0.653,0.00907,0.23,0.0703,0.047,0.198,"['indie pop', 'indie rock', 'indietronica', 'modern rock', 'seattle indie']"
32,2GXGomZC6LODi105eUNfPV,6ogn9necmbUdCppmNnGOdi,Alanis Morissette,Hand In My Pocket - Acoustic,Y,74.987,4,C,1,-8.241,0.53,0.614,0.00912,0.0,0.10400000000000001,0.0271,0.465,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'lilith', 'pop rock', 'singer-songwriter']"
33,1ter5cYwwDq0KQar6B62lZ,6ogn9necmbUdCppmNnGOdi,Alanis Morissette,Hand In My Pocket - Acoustic,N,74.987,4,C,1,-8.241,0.53,0.614,0.00912,0.0,0.10400000000000001,0.0271,0.465,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'lilith', 'pop rock', 'singer-songwriter']"
34,0n2SEXB2qoRQg171q7XqeW,6GI52t8N5F02MxU0g5U69P,"Santana, Rob Thomas",Smooth (feat. Rob Thomas),Y,115.99600000000001,4,A,1,-3.908,0.9229999999999999,0.609,0.16,4.73e-06,0.295,0.0338,0.961,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']"
35,2pX4FpOgwItRVPPUFdRcxA,6GI52t8N5F02MxU0g5U69P,"Santana, Rob Thomas",Smooth (feat. Rob Thomas),N,115.99600000000001,4,A,1,-3.908,0.9229999999999999,0.609,0.16,4.73e-06,0.295,0.0338,0.961,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']"
36,6COsBTLkBs5HSkqt1Fdrr1,3DvdryKH4O95ZnsUZJKXpt,"Maze, Frankie Beverly",Before I Let Go,Y,103.141,4,F♯/G♭,0,-12.694,0.358,0.8059999999999999,0.139,1.58e-05,0.142,0.0406,0.963,"['funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
37,7EIqakFnWSmh4QVU91sY4j,3DvdryKH4O95ZnsUZJKXpt,"Maze, Frankie Beverly",Before I Let Go,N,103.162,4,F♯/G♭,0,-6.2829999999999995,0.5579999999999999,0.785,0.19899999999999998,0.000131,0.0639,0.036000000000000004,0.963,"['funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
38,0emOrOTC0HLRgVjJhTrrqb,08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,Only Wannna Be With You - 2019 Remaster,Y,103.119,4,F♯/G♭,1,-6.2379999999999995,0.855,0.49200000000000005,0.218,4.26e-06,0.0974,0.0347,0.594,"['mellow gold', 'neo mellow', 'pop rock', 'post-grunge']"
39,1OFKUn2VLafrHj7ybnap0Q,08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,Only Wannna Be with You,Y,103.272,4,F♯/G♭,1,-5.861000000000001,0.873,0.49,0.107,5.19e-06,0.11800000000000001,0.0355,0.513,"['mellow gold', 'neo mellow', 'pop rock', 'post-grunge']"
40,0uUsLSgskynS97TNABNnlT,25TKXk9zo9yk0HMJQ3TuE9,Kurtis Blow,Christmas Rappin',Y,110.947,4,D,1,-13.089,0.588,0.8809999999999999,0.0451,6.35e-06,0.141,0.064,0.935,"['east coast hip hop', 'electro', 'harlem hip hop', 'hip hop', 'hip house', 'old school hip hop', 'rap']"
41,3elP66qkaTnPpnLDTrVHik,25TKXk9zo9yk0HMJQ3TuE9,Kurtis Blow,Christmas Rappin',N,111.61399999999999,4,A,1,-10.850999999999999,0.679,0.887,0.059000000000000004,1.52e-05,0.115,0.0685,0.9359999999999999,"['east coast hip hop', 'electro', 'harlem hip hop', 'hip hop', 'hip house', 'old school hip hop', 'rap']"
42,52dm9op3rbfAkc1LGXgipW,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Wild Horses - 2009 Mix,Y,139.506,4,G,1,-6.517,0.389,0.43200000000000005,0.687,0.0107,0.0788,0.0255,0.158,"['album rock', 'british invasion', 'classic rock', 'rock']"
43,6vt2yYYmpZTatTCzm4pM5s,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Wild Horses - (Original Single Stereo Version),N,73.467,4,G,1,-9.757,0.298,0.376,0.7609999999999999,0.0467,0.0769,0.0261,0.14400000000000002,"['album rock', 'british invasion', 'classic rock', 'rock']"
44,05CuE9Av2R8EF3pu2pL7Pe,2JIf5JxI3ypOSfrfNIIMQE,YELLOW MAGIC ORCHESTRA,Firecracker - 2018 Bob Ludwig Remastering,Y,120.431,4,D,1,-2.707,0.897,0.775,0.20199999999999999,0.835,0.0997,0.0327,0.948,"['classic j-rock', 'electro', 'japanese city pop', 'proto-techno', 'shibuya-kei', 'techno kayo', 'zolo']"
45,1nz8gkgoe6QL7faHhKgLAD,2JIf5JxI3ypOSfrfNIIMQE,YELLOW MAGIC ORCHESTRA,Firecracker,N,120.462,4,D,1,-5.156000000000001,0.888,0.695,0.2,0.777,0.17800000000000002,0.0333,0.953,"['classic j-rock', 'electro', 'japanese city pop', 'proto-techno', 'shibuya-kei', 'techno kayo', 'zolo']"
