start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
8.45841,0.27592,1.0,-51.032,0.03242,-33.047,0.0,"[0.971, 1.0, 0.341, 0.226, 0.3, 0.655, 0.387, 0.26, 0.14, 0.419, 0.44, 0.809]","[15.766, 173.03, -106.093, 113.168, 17.028, 43.219, -19.591, -16.775, 7.519, -26.6, -8.743, -14.841]"
8.73433,0.28816,1.0,-57.38,0.01981,-7.256,0.0,"[0.818, 0.37, 0.21, 0.33, 0.318, 0.3, 0.115, 0.367, 0.266, 0.135, 0.19, 1.0]","[37.073, 102.618, -139.912, 201.344, -17.21, 36.391, -44.539, 91.802, -0.947, 1.084, 1.723, 17.356]"
9.02249,0.21333,0.937,-52.586,0.02071,-37.747,0.0,"[1.0, 0.585, 0.409, 0.501, 0.305, 0.265, 0.174, 0.247, 0.135, 0.18, 0.191, 0.824]","[14.526, 166.159, -72.436, 113.312, 14.239, -55.95, -25.423, -17.033, -15.093, 0.932, -44.705, -4.727]"
9.23583,0.33696,1.0,-57.286,0.07934,-10.224,0.0,"[0.889, 0.276, 0.199, 0.292, 0.698, 0.832, 0.105, 0.249, 0.361, 0.105, 0.127, 1.0]","[21.342, -8.442, -19.966, -203.988, 23.526, 115.495, 41.061, -38.401, -32.366, 69.377, -113.326, 37.041]"
9.57279,0.21202,0.403,-42.738,0.01345,-34.184,0.0,"[0.643, 0.734, 0.423, 0.602, 0.315, 1.0, 0.826, 0.219, 0.204, 0.663, 0.441, 0.349]","[17.002, 165.944, -97.594, 114.881, 11.233, -49.53, -47.715, -14.513, -13.484, -23.581, -47.105, 4.398]"
9.78481,0.32902,1.0,-57.074,0.07106,-9.206,0.0,"[0.872, 0.311, 0.492, 0.496, 1.0, 0.768, 0.212, 0.183, 0.248, 0.174, 0.205, 0.82]","[28.04, -23.828, -54.771, -158.17, 45.258, 185.659, 19.393, 56.615, 1.164, 20.484, -99.316, 23.794]"
10.11383,0.20159,0.417,-43.06,0.0225,-32.703,0.0,"[0.759, 1.0, 0.162, 0.127, 0.139, 0.281, 0.334, 0.072, 0.058, 0.097, 0.115, 0.301]","[18.798, 186.281, -105.939, 111.071, 12.47, -47.939, -35.922, -15.904, -2.262, -25.365, -47.667, 10.799]"
10.31542,0.34866,1.0,-57.014,0.07515,-10.341,0.0,"[1.0, 0.408, 0.313, 0.301, 0.714, 0.749, 0.232, 0.353, 0.509, 0.191, 0.286, 0.971]","[21.19, -31.335, -39.534, -189.362, 45.469, 100.298, 14.636, 6.528, -12.561, 50.774, -98.386, 38.904]"
10.66408,0.2527,0.543,-45.177,0.00836,-35.716,0.0,"[0.734, 1.0, 0.46, 0.432, 0.355, 0.251, 0.442, 0.356, 0.275, 0.355, 0.473, 0.433]","[14.233, 145.218, -101.246, 119.495, 7.073, -79.772, -32.722, 6.646, -1.22, -18.068, -29.895, 26.638]"
10.91678,0.29859,1.0,-57.886,0.03281,-7.755,0.0,"[0.859, 0.985, 0.57, 1.0, 0.778, 0.543, 0.611, 0.757, 0.211, 0.386, 0.413, 0.845]","[36.527, 89.612, -151.519, 205.135, -6.577, 70.48, -27.661, 72.864, 4.329, 3.499, 12.846, 16.376]"
11.21537,0.1219,1.0,-52.479,0.02143,-33.856,0.0,"[1.0, 0.866, 0.644, 0.673, 0.925, 0.968, 0.985, 0.919, 0.459, 0.568, 0.348, 0.23]","[20.874, 177.967, -24.399, 54.572, 38.37, -53.007, -43.647, -52.78, -8.062, 18.942, -24.585, 6.851]"
11.33728,0.09937,1.0,-46.076,0.03006,-17.558,0.0,"[1.0, 0.878, 0.245, 0.269, 0.346, 0.439, 0.288, 0.362, 0.57, 0.444, 0.441, 0.438]","[34.964, -82.681, -69.978, 27.33, -8.058, 32.892, -6.35, -19.845, 13.754, 7.41, 31.021, -1.422]"
11.43664,0.27279,1.0,-30.541,0.04478,-10.863,0.0,"[0.719, 0.258, 0.157, 0.296, 0.277, 0.212, 0.117, 0.151, 0.321, 0.151, 0.081, 1.0]","[35.567, 18.8, -140.854, 85.557, 9.309, 70.662, -35.796, 35.658, 32.083, -34.083, -86.171, 19.294]"
